timestamp,slo_itl,slo_ttft
2025-12-06 19:48:08.120000+00:00,10,1000
2025-12-06 19:48:08.140000+00:00,10,1000
2025-12-06 19:49:08.144000+00:00,10,1000
2025-12-06 19:49:08.176000+00:00,10,1000
2025-12-06 19:50:08.184000+00:00,10,1000
2025-12-06 19:50:08.217000+00:00,10,1000
2025-12-06 19:51:08.220000+00:00,10,1000
2025-12-06 19:51:08.246000+00:00,10,1000
2025-12-06 19:52:08.253000+00:00,10,1000
2025-12-06 19:52:08.282000+00:00,10,1000
2025-12-06 19:53:08.289000+00:00,10,1000
2025-12-06 19:53:08.320000+00:00,10,1000
2025-12-06 19:54:08.326000+00:00,10,1000
2025-12-06 19:54:08.356000+00:00,10,1000
2025-12-06 19:55:08.360000+00:00,10,1000
2025-12-06 19:55:08.389000+00:00,10,1000
2025-12-06 19:56:08.398000+00:00,10,1000
2025-12-06 19:56:08.427000+00:00,10,1000
2025-12-06 19:57:08.432000+00:00,10,1000
2025-12-06 19:57:08.462000+00:00,10,1000
2025-12-06 19:58:08.474000+00:00,10,1000
2025-12-06 19:58:08.501000+00:00,10,1000
2025-12-06 19:59:08.506000+00:00,10,1000
2025-12-06 19:59:08.535000+00:00,10,1000
2025-12-06 20:00:08.540000+00:00,10,1000
2025-12-06 20:00:08.573000+00:00,10,1000
2025-12-06 20:01:08.577000+00:00,10,1000
2025-12-06 20:01:08.605000+00:00,10,1000
2025-12-06 20:02:08.615000+00:00,10,1000
2025-12-06 20:02:08.645000+00:00,10,1000
2025-12-06 20:03:08.654000+00:00,10,1000
2025-12-06 20:03:08.685000+00:00,10,1000
2025-12-06 20:04:08.692000+00:00,10,1000
2025-12-06 20:04:08.724000+00:00,10,1000
2025-12-06 20:05:08.728000+00:00,10,1000
2025-12-06 20:05:08.753000+00:00,10,1000
2025-12-06 20:06:08.761000+00:00,10,1000
2025-12-06 20:06:08.808000+00:00,10,1000
2025-12-06 20:07:08.796000+00:00,10,1000
2025-12-06 20:07:08.831000+00:00,10,1000
2025-12-06 20:08:08.839000+00:00,10,1000
2025-12-06 20:08:08.869000+00:00,10,1000
2025-12-06 20:09:08.874000+00:00,10,1000
2025-12-06 20:09:08.904000+00:00,10,1000
2025-12-06 20:10:08.916000+00:00,10,1000
2025-12-06 20:10:09.019000+00:00,10,1000
2025-12-06 20:11:09.026000+00:00,10,1000
2025-12-06 20:11:09.058000+00:00,10,1000
2025-12-06 20:12:09.062000+00:00,10,1000
2025-12-06 20:12:09.117000+00:00,10,1000
2025-12-06 20:13:09.098000+00:00,10,1000
2025-12-06 20:13:09.145000+00:00,10,1000
