timestamp,observed_replicas,observed_ttft,observed_itl
2025-12-10 04:25:54.315000+00:00,1,0.0,0.0
2025-12-10 04:26:54.352000+00:00,1,0.0,0.0
2025-12-10 04:27:54.403000+00:00,1,17.35,8.07
2025-12-10 04:28:54.438000+00:00,1,17.95,9.43
2025-12-10 04:29:54.484000+00:00,1,31.97,16.95
2025-12-10 04:30:54.544000+00:00,1,47.73,28.51
2025-12-10 04:31:54.584000+00:00,1,62.4,38.57
2025-12-10 04:32:54.634000+00:00,2,71.96,44.2
2025-12-10 04:33:54.677000+00:00,3,30.04,17.26
2025-12-10 04:34:54.739000+00:00,3,19.38,9.62
2025-12-10 04:35:54.785000+00:00,3,18.13,8.77
2025-12-10 04:36:54.846000+00:00,2,15.27,8.13
2025-12-10 04:37:54.897000+00:00,1,18.63,9.61
2025-12-10 04:38:54.933000+00:00,1,21.49,10.72
2025-12-10 04:39:54.987000+00:00,1,20.44,10.34
2025-12-10 04:40:55.030000+00:00,1,20.96,10.32
2025-12-10 04:41:55.071000+00:00,2,21.25,10.63
2025-12-10 04:42:55.110000+00:00,2,18.4,8.82
2025-12-10 04:43:55.151000+00:00,2,15.85,8.17
2025-12-10 04:44:55.198000+00:00,1,17.84,9.19
2025-12-10 04:45:55.371000+00:00,1,20.25,9.83
2025-12-10 04:46:55.420000+00:00,1,19.26,9.45
2025-12-10 04:47:55.459000+00:00,1,17.7,8.35
2025-12-10 04:48:55.585000+00:00,1,17.36,8.07
2025-12-10 04:49:55.706000+00:00,1,17.68,8.39
2025-12-10 04:50:55.738000+00:00,1,17.5,8.31
2025-12-10 04:51:55.779000+00:00,1,17.34,8.19
2025-12-10 04:52:55.903000+00:00,1,17.13,8.43
2025-12-10 04:53:55.947000+00:00,1,17.97,8.52
2025-12-10 04:54:55.987000+00:00,1,17.45,8.57
2025-12-10 04:55:56.032000+00:00,1,17.68,8.23
2025-12-10 04:56:56.066000+00:00,1,17.78,8.29
2025-12-10 04:57:56.109000+00:00,1,17.13,8.02
2025-12-10 04:58:56.144000+00:00,1,0.0,0.0
