action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T21:11:52.113Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f98fz7d,0,,,,,2025-11-27T21:11:52.115Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f98fz7d,,,,,,2025-11-27T21:11:52.115Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T21:11:52.115Z,1,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T21:11:52.123Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f98fz7d,0,,,,,2025-11-27T21:11:52.125Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f98fz7d,,,,,,2025-11-27T21:11:52.125Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T21:11:52.125Z,1,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T21:12:52.141Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f98fz7d,0,,,,,2025-11-27T21:12:52.143Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f98fz7d,,,,,,2025-11-27T21:12:52.143Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T21:12:52.143Z,1,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T21:12:52.151Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f98fz7d,0,,,,,2025-11-27T21:12:52.152Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f98fz7d,,,,,,2025-11-27T21:12:52.152Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T21:12:52.152Z,1,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T21:13:52.182Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f98fz7d,0,,,,,2025-11-27T21:13:52.183Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f98fz7d,,,,,,2025-11-27T21:13:52.184Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T21:13:52.184Z,1,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T21:13:52.192Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f98fz7d,,,,,,2025-11-27T21:13:52.193Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f98fz7d,0,,,,,2025-11-27T21:13:52.193Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T21:13:52.193Z,1,
