timestamp,observed_replicas,observed_ttft,observed_itl
2025-12-04 00:20:26.643000+00:00,2,0.0,0.0
2025-12-04 00:21:26.666000+00:00,1,0.0,0.0
2025-12-04 00:22:26.692000+00:00,1,23.11,10.65
2025-12-04 00:23:26.726000+00:00,3,21.64,10.66
2025-12-04 00:24:26.765000+00:00,10,28.02,15.45
2025-12-04 00:25:26.811000+00:00,10,23.11,12.0
2025-12-04 00:26:26.856000+00:00,10,16.09,9.13
2025-12-04 00:27:26.891000+00:00,4,17.76,9.58
2025-12-04 00:28:26.934000+00:00,4,19.21,9.94
2025-12-04 00:29:26.966000+00:00,5,17.82,9.49
2025-12-04 00:30:27.010000+00:00,4,18.07,9.25
2025-12-04 00:31:27.049000+00:00,3,0.0,0.0
