timestamp,observed_replicas,observed_ttft,observed_itl
2025-12-06 02:39:24.719000+00:00,1,0.0,0.0
2025-12-06 02:40:24.738000+00:00,1,0.0,0.0
2025-12-06 02:41:24.761000+00:00,1,0.0,0.0
2025-12-06 02:42:24.799000+00:00,1,0.0,0.0
2025-12-06 02:43:24.817000+00:00,1,0.0,0.0
2025-12-06 02:44:24.872000+00:00,1,0.0,0.0
2025-12-06 02:45:24.908000+00:00,1,18.92,9.15
2025-12-06 02:46:24.935000+00:00,1,18.71,8.98
2025-12-06 02:47:24.970000+00:00,1,19.11,9.16
2025-12-06 02:48:24.987000+00:00,1,27.56,14.11
2025-12-06 02:48:25.140000+00:00,1,27.56,14.11
2025-12-06 02:49:25.169000+00:00,2,30.96,16.12
2025-12-06 02:50:25.194000+00:00,2,31.21,16.57
2025-12-06 02:51:25.223000+00:00,2,32.6,18.26
2025-12-06 02:52:25.248000+00:00,2,23.37,12.02
2025-12-06 02:53:25.278000+00:00,3,22.44,11.13
2025-12-06 02:54:25.319000+00:00,6,26.86,13.56
2025-12-06 02:55:25.351000+00:00,6,19.93,9.95
2025-12-06 02:56:25.382000+00:00,6,18.97,9.41
2025-12-06 02:57:25.410000+00:00,5,17.36,8.22
2025-12-06 02:58:25.442000+00:00,3,16.98,8.16
2025-12-06 02:59:25.471000+00:00,2,18.23,8.69
2025-12-06 03:00:25.501000+00:00,2,18.77,9.16
2025-12-06 03:01:25.528000+00:00,2,16.3,7.65
2025-12-06 03:02:25.559000+00:00,1,18.63,8.83
2025-12-06 03:03:25.587000+00:00,1,17.91,8.91
2025-12-06 03:04:25.615000+00:00,1,0.0,0.0
