time,from_replicas,to_replicas,load
10.011766666666666,1,2,831.9
16.014516666666665,2,3,1712.18
22.017333333333333,3,5,3338.12
28.020166666666668,5,3,1674.76
29.020633333333333,3,2,1532.73
30.021250000000002,2,3,1660.89
31.021733333333334,3,2,1593.01
32.0224,2,3,1612.08
34.0247,3,2,800.01
40.027566666666665,2,1,20.53
