==========================================
HPA Experiment Monitor
==========================================
Namespace:       llm-d-inference-scheduler
HPA:             vllm-hpa-combined
Deployment:      ms-inference-scheduling-llm-d-modelservice-decode
Sample Interval: 5s
Output Dir:      ./experiment-data/hpa-experiment-20251124-144139
==========================================

✓ Initialized experiment: hpa-experiment-20251124-144139
✓ Output directory: ./experiment-data/hpa-experiment-20251124-144139

Starting monitoring... (Press Ctrl+C to stop)

[2025-11-24T19:46:10Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 58.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:46:17Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 58.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:46:23Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 58.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:46:29Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 58.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:46:35Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 58.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:46:41Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 41.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:46:48Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 41.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:46:54Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 41.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:47:00Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 41.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:47:07Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 41.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:47:13Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 36.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:47:19Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 36.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:47:25Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 36.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:47:32Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 36.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:47:38Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 44.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:47:44Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 44.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:47:50Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 44.0%/800% | Jobs: 2 active, 0 completed
[2025-11-24T19:47:57Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 44.0%/800% | Jobs: 2 active, 0 completed
[2025-11-24T19:48:03Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 44.0%/800% | Jobs: 2 active, 0 completed
[2025-11-24T19:48:09Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 31.0%/800% | Jobs: 2 active, 0 completed
[2025-11-24T19:48:15Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 31.0%/800% | Jobs: 2 active, 0 completed
[2025-11-24T19:48:22Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 31.0%/800% | Jobs: 2 active, 0 completed
[2025-11-24T19:48:28Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 31.0%/800% | Jobs: 2 active, 0 completed
[2025-11-24T19:48:34Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 31.0%/800% | Jobs: 2 active, 0 completed
