action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,pod,queue_length,replicas,target_replicas,timestamp,ttft
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,418,,,2025-12-09T20:42:34.544Z,
,,,queue,,,,,,,,2025-12-09T20:42:34.544Z,
,,,kv_cache,,99.9,0.999,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:42:34.544Z,
,,,kv_cache,,99.9,0.999,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,,,,2025-12-09T20:42:34.544Z,
,,,kv_cache,,,,,,,,2025-12-09T20:42:34.544Z,
no-change,,3,scaling_decision,,,,,,,3,2025-12-09T20:42:34.547Z,
,20.0,,metrics,72.27,,,,,2,,2025-12-09T20:43:34.575Z,271.96
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,233,,,2025-12-09T20:43:34.577Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,419,,,2025-12-09T20:43:34.577Z,
,,,queue,,,,,,,,2025-12-09T20:43:34.577Z,
,,,kv_cache,,99.7,0.997,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:43:34.577Z,
,,,kv_cache,,99.9,0.999,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,,,,2025-12-09T20:43:34.577Z,
,,,kv_cache,,,,,,,,2025-12-09T20:43:34.577Z,
no-change,,3,scaling_decision,,,,,,,3,2025-12-09T20:43:34.579Z,
,30.0,,metrics,61.85,,,,,3,,2025-12-09T20:44:34.608Z,619.26
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,269,,,2025-12-09T20:44:34.610Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,215,,,2025-12-09T20:44:34.610Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,0,,,2025-12-09T20:44:34.610Z,
,,,queue,,,,,,,,2025-12-09T20:44:34.610Z,
,,,kv_cache,,99.4,0.994,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:44:34.610Z,
,,,kv_cache,,99.9,0.999,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,,,,2025-12-09T20:44:34.610Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,,,,2025-12-09T20:44:34.610Z,
,,,kv_cache,,,,,,,,2025-12-09T20:44:34.610Z,
no-change,,3,scaling_decision,,,,,,,3,2025-12-09T20:44:34.612Z,
,30.0,,metrics,39.42,,,,,3,,2025-12-09T20:45:34.635Z,72.93
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:45:34.638Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,0,,,2025-12-09T20:45:34.638Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,0,,,2025-12-09T20:45:34.638Z,
,,,queue,,,,,,,,2025-12-09T20:45:34.638Z,
,,,kv_cache,,79.7,0.797,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:45:34.640Z,
,,,kv_cache,,98.6,0.986,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,,,,2025-12-09T20:45:34.640Z,
,,,kv_cache,,49.5,0.495,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,,,,2025-12-09T20:45:34.640Z,
,,,kv_cache,,,,,,,,2025-12-09T20:45:34.640Z,
scale-up,,3,scaling_decision,,,,,,,4,2025-12-09T20:45:34.644Z,
,30.0,,metrics,36.47,,,,,3,,2025-12-09T20:46:34.672Z,61.73
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:46:34.673Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,0,,,2025-12-09T20:46:34.673Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,0,,,2025-12-09T20:46:34.673Z,
