action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,target_replicas,timestamp
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T04:58:56.144Z
,,prediction,,,,7.3401732,1,16.286585,,2025-12-10T04:58:56.144Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T04:58:56.144Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T04:59:56.180Z
,,prediction,,,,7.3401732,1,16.286585,,2025-12-10T04:59:56.180Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T04:59:56.180Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T05:00:56.208Z
,,prediction,,,,7.3401732,1,16.286585,,2025-12-10T05:00:56.208Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T05:00:56.208Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T05:01:56.240Z
,,prediction,,,,7.3401732,1,16.286585,,2025-12-10T05:01:56.240Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T05:01:56.240Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T05:02:56.269Z
,,prediction,,,,7.3401732,1,16.286585,,2025-12-10T05:02:56.269Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T05:02:56.269Z
,,observed_metrics,14.2,1,28.16,,,,,2025-12-10T05:03:56.298Z
,,prediction,,,,8.877925,2,18.522326,,2025-12-10T05:03:56.310Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T05:03:56.310Z
,,observed_metrics,15.62,1,30.5,,,,,2025-12-10T05:04:56.345Z
,,prediction,,,,9.429047,2,19.01326,,2025-12-10T05:04:56.356Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T05:04:56.356Z
,,observed_metrics,30.29,1,57.31,,,,,2025-12-10T05:05:56.387Z
,,prediction,,,,8.730017,2,18.514647,,2025-12-10T05:05:56.398Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T05:05:56.398Z
,,observed_metrics,58.46,2,7724.16,,,,,2025-12-10T05:06:56.425Z
,,prediction,,,,9.221523,3,18.640234,,2025-12-10T05:06:56.429Z
scale-up,2,scaling_decision,,,,,,,3,2025-12-10T05:06:56.429Z
,,observed_metrics,39.86,2,65.67,,,,,2025-12-10T05:07:56.488Z
,,prediction,,,,9.481295,5,19.079988,,2025-12-10T05:07:56.496Z
scale-up,2,scaling_decision,,,,,,,5,2025-12-10T05:07:56.496Z
,,observed_metrics,52.0,2,85.14,,,,,2025-12-10T05:08:56.525Z
,,prediction,,,,9.57844,4,19.549582,,2025-12-10T05:08:56.535Z
scale-up,2,scaling_decision,,,,,,,4,2025-12-10T05:08:56.535Z
,,observed_metrics,56.48,3,90.9,,,,,2025-12-10T05:09:56.569Z
,,prediction,,,,9.376339,5,19.050924,,2025-12-10T05:09:56.581Z
scale-up,3,scaling_decision,,,,,,,5,2025-12-10T05:09:56.581Z
,,observed_metrics,38.95,3,64.11,,,,,2025-12-10T05:10:56.663Z
,,prediction,,,,9.724616,7,19.309061,,2025-12-10T05:10:56.673Z
scale-up,3,scaling_decision,,,,,,,7,2025-12-10T05:10:56.673Z
,,observed_metrics,24.37,4,40.99,,,,,2025-12-10T05:11:56.710Z
,,prediction,,,,9.985087,7,19.783726,,2025-12-10T05:11:56.720Z
scale-up,4,scaling_decision,,,,,,,7,2025-12-10T05:11:56.720Z
,,observed_metrics,17.76,5,33.25,,,,,2025-12-10T05:12:56.755Z
,,prediction,,,,9.846175,8,19.31726,,2025-12-10T05:12:56.766Z
scale-up,5,scaling_decision,,,,,,,8,2025-12-10T05:12:56.766Z
,,observed_metrics,10.37,7,21.06,,,,,2025-12-10T05:13:56.813Z
,,prediction,,,,9.463629,6,19.166811,,2025-12-10T05:13:56.822Z
scale-down,7,scaling_decision,,,,,,,6,2025-12-10T05:13:56.822Z
,,observed_metrics,9.22,6,18.89,,,,,2025-12-10T05:14:56.867Z
,,prediction,,,,9.718116,5,19.556602,,2025-12-10T05:14:56.878Z
scale-down,6,scaling_decision,,,,,,,5,2025-12-10T05:14:56.878Z
,,observed_metrics,9.65,5,19.73,,,,,2025-12-10T05:15:56.920Z
,,prediction,,,,9.633053,5,19.636364,,2025-12-10T05:15:56.931Z
no-change,5,scaling_decision,,,,,,,5,2025-12-10T05:15:56.931Z
,,observed_metrics,10.26,5,20.73,,,,,2025-12-10T05:16:56.962Z
,,prediction,,,,9.64648,6,19.838034,,2025-12-10T05:16:56.972Z
scale-up,5,scaling_decision,,,,,,,6,2025-12-10T05:16:56.972Z
,,observed_metrics,10.23,5,20.55,,,,,2025-12-10T05:17:57.005Z
,,prediction,,,,9.625551,6,19.789719,,2025-12-10T05:17:57.014Z
scale-up,5,scaling_decision,,,,,,,6,2025-12-10T05:17:57.014Z
,,observed_metrics,9.13,5,18.78,,,,,2025-12-10T05:18:57.043Z
,,prediction,,,,9.851767,4,19.774302,,2025-12-10T05:18:57.049Z
scale-down,5,scaling_decision,,,,,,,4,2025-12-10T05:18:57.049Z
,,observed_metrics,9.63,4,19.52,,,,,2025-12-10T05:19:57.082Z
,,prediction,,,,9.588155,4,19.45065,,2025-12-10T05:19:57.087Z
no-change,4,scaling_decision,,,,,,,4,2025-12-10T05:19:57.087Z
,,observed_metrics,9.12,4,19.09,,,,,2025-12-10T05:20:57.122Z
,,prediction,,,,9.970063,3,20.001331,,2025-12-10T05:20:57.131Z
scale-down,4,scaling_decision,,,,,,,3,2025-12-10T05:20:57.131Z
,,observed_metrics,7.74,3,16.31,,,,,2025-12-10T05:21:57.170Z
,,prediction,,,,8.242496,2,17.15488,,2025-12-10T05:21:57.175Z
scale-down,3,scaling_decision,,,,,,,2,2025-12-10T05:21:57.175Z
