action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
,20.0,,metrics,49.43,,,,,,2,,,,2025-11-27T23:10:29.042Z,,975.74
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9zt6lq,13,,,,,2025-11-27T23:10:29.044Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9q7222,0,,,,,2025-11-27T23:10:29.044Z,,
,,,queue,,,,,,,,,,,2025-11-27T23:10:29.044Z,,
,,,kv_cache,,99.5,0.995,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9zt6lq,,,,,,2025-11-27T23:10:29.044Z,,
,,,kv_cache,,13.4,0.134,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9q7222,,,,,,2025-11-27T23:10:29.044Z,,
,,,kv_cache,,,,,,,,,,,2025-11-27T23:10:29.044Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T23:10:29.044Z,2,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T23:10:29.044Z,2,
no-change,,2,scaling_decision,,,,,,,,,,2,2025-11-27T23:10:29.044Z,,
,20.0,,metrics,49.43,,,,,,2,,,,2025-11-27T23:10:29.101Z,,975.74
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9zt6lq,13,,,,,2025-11-27T23:10:29.102Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9q7222,0,,,,,2025-11-27T23:10:29.102Z,,
,,,queue,,,,,,,,,,,2025-11-27T23:10:29.102Z,,
,,,kv_cache,,99.5,0.995,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9zt6lq,,,,,,2025-11-27T23:10:29.102Z,,
,,,kv_cache,,13.4,0.134,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9q7222,,,,,,2025-11-27T23:10:29.102Z,,
,,,kv_cache,,,,,,,,,,,2025-11-27T23:10:29.102Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T23:10:29.103Z,2,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T23:10:29.103Z,2,
no-change,,2,scaling_decision,,,,,,,,,,2,2025-11-27T23:10:29.103Z,,
,20.0,,metrics,47.26,,,,,,2,,,,2025-11-27T23:10:59.070Z,,963.69
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9zt6lq,219,,,,,2025-11-27T23:10:59.072Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9q7222,0,,,,,2025-11-27T23:10:59.072Z,,
,,,queue,,,,,,,,,,,2025-11-27T23:10:59.072Z,,
,,,kv_cache,,99.6,0.996,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9zt6lq,,,,,,2025-11-27T23:10:59.072Z,,
,,,kv_cache,,13.4,0.134,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9q7222,,,,,,2025-11-27T23:10:59.072Z,,
,,,kv_cache,,,,,,,,,,,2025-11-27T23:10:59.072Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T23:10:59.072Z,2,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T23:10:59.072Z,2,
no-change,,2,scaling_decision,,,,,,,,,,2,2025-11-27T23:10:59.072Z,,
,20.0,,metrics,47.26,,,,,,2,,,,2025-11-27T23:10:59.121Z,,963.69
,,,kv_cache,,99.6,0.996,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9zt6lq,,,,,,2025-11-27T23:10:59.123Z,,
,,,kv_cache,,13.4,0.134,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9q7222,,,,,,2025-11-27T23:10:59.123Z,,
,,,kv_cache,,,,,,,,,,,2025-11-27T23:10:59.123Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9zt6lq,219,,,,,2025-11-27T23:10:59.123Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9q7222,0,,,,,2025-11-27T23:10:59.123Z,,
,,,queue,,,,,,,,,,,2025-11-27T23:10:59.123Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T23:10:59.123Z,2,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T23:10:59.123Z,2,
no-change,,2,scaling_decision,,,,,,,,,,2,2025-11-27T23:10:59.123Z,,
,20.0,,metrics,45.77,,,,,,2,,,,2025-11-27T23:11:29.102Z,,1632.35
