timestamp,slo_itl,slo_ttft
2025-12-05 23:16:18.414000+00:00,10,1000
2025-12-05 23:17:18.420000+00:00,10,1000
2025-12-05 23:17:18.432000+00:00,10,1000
2025-12-05 23:18:18.439000+00:00,10,1000
2025-12-05 23:18:18.445000+00:00,10,1000
2025-12-05 23:19:18.651000+00:00,10,1000
2025-12-05 23:19:18.672000+00:00,10,1000
2025-12-05 23:20:18.679000+00:00,10,1000
2025-12-05 23:20:18.698000+00:00,10,1000
2025-12-05 23:21:18.771000+00:00,10,1000
2025-12-05 23:21:18.846000+00:00,10,1000
2025-12-05 23:22:18.829000+00:00,10,1000
2025-12-05 23:22:18.885000+00:00,10,1000
2025-12-05 23:23:18.865000+00:00,10,1000
2025-12-05 23:23:18.911000+00:00,10,1000
2025-12-05 23:24:18.899000+00:00,10,1000
2025-12-05 23:24:18.937000+00:00,10,1000
2025-12-05 23:25:18.932000+00:00,10,1000
2025-12-05 23:25:18.970000+00:00,10,1000
2025-12-05 23:26:18.971000+00:00,10,1000
2025-12-05 23:26:19.019000+00:00,10,1000
2025-12-05 23:27:19.016000+00:00,10,1000
2025-12-05 23:27:19.050000+00:00,10,1000
2025-12-05 23:28:19.054000+00:00,10,1000
2025-12-05 23:28:19.083000+00:00,10,1000
2025-12-05 23:29:19.088000+00:00,10,1000
2025-12-05 23:29:19.119000+00:00,10,1000
2025-12-05 23:30:19.125000+00:00,10,1000
2025-12-05 23:30:19.154000+00:00,10,1000
2025-12-05 23:31:19.160000+00:00,10,1000
2025-12-05 23:31:19.193000+00:00,10,1000
2025-12-05 23:32:19.199000+00:00,10,1000
2025-12-05 23:32:19.231000+00:00,10,1000
2025-12-05 23:33:19.249000+00:00,10,1000
2025-12-05 23:33:19.279000+00:00,10,1000
2025-12-05 23:34:19.322000+00:00,10,1000
2025-12-05 23:34:19.353000+00:00,10,1000
2025-12-05 23:35:19.358000+00:00,10,1000
2025-12-05 23:35:19.384000+00:00,10,1000
2025-12-05 23:36:19.394000+00:00,10,1000
2025-12-05 23:36:19.426000+00:00,10,1000
2025-12-05 23:37:19.427000+00:00,10,1000
2025-12-05 23:37:19.623000+00:00,10,1000
2025-12-05 23:38:19.467000+00:00,10,1000
2025-12-05 23:38:19.653000+00:00,10,1000
2025-12-05 23:39:19.499000+00:00,10,1000
2025-12-05 23:39:19.683000+00:00,10,1000
2025-12-05 23:40:19.536000+00:00,10,1000
2025-12-05 23:40:19.711000+00:00,10,1000
