timestamp,observed_replicas,observed_ttft,observed_itl
2025-12-09 05:14:28.263000+00:00,1,0.0,0.0
2025-12-09 05:15:28.288000+00:00,1,0.0,0.0
2025-12-09 05:16:28.327000+00:00,1,16.84,9.63
2025-12-09 05:17:28.360000+00:00,1,20.81,11.72
2025-12-09 05:18:28.419000+00:00,1,29.55,16.22
2025-12-09 05:19:28.465000+00:00,1,22.25,12.95
2025-12-09 05:20:28.502000+00:00,2,19.23,10.24
2025-12-09 05:21:28.541000+00:00,3,19.43,10.26
2025-12-09 05:22:28.580000+00:00,3,19.47,9.57
2025-12-09 05:23:28.616000+00:00,1,34.87,20.66
2025-12-09 05:24:28.657000+00:00,1,36.0,21.45
2025-12-09 05:25:28.690000+00:00,1,18.16,9.25
2025-12-09 05:26:28.733000+00:00,1,21.54,11.51
2025-12-09 05:27:28.772000+00:00,1,22.85,11.87
2025-12-09 05:28:28.813000+00:00,2,20.05,10.51
2025-12-09 05:29:28.853000+00:00,2,18.3,9.47
2025-12-09 05:30:28.906000+00:00,2,18.24,9.65
2025-12-09 05:31:28.944000+00:00,2,18.06,9.74
2025-12-09 05:32:28.982000+00:00,2,17.53,9.45
2025-12-09 05:33:29.023000+00:00,2,17.47,9.43
2025-12-09 05:34:29.064000+00:00,2,17.58,9.55
2025-12-09 05:35:29.101000+00:00,2,17.64,8.91
2025-12-09 05:36:29.140000+00:00,1,19.09,9.55
2025-12-09 05:37:29.170000+00:00,1,19.23,9.37
2025-12-09 05:38:29.212000+00:00,1,19.46,9.89
2025-12-09 05:39:29.253000+00:00,1,19.57,9.68
2025-12-09 05:40:29.296000+00:00,1,19.36,9.72
2025-12-09 05:41:29.332000+00:00,1,18.98,9.67
2025-12-09 05:42:29.373000+00:00,1,19.35,9.89
2025-12-09 05:43:29.411000+00:00,1,19.12,9.86
2025-12-09 05:44:29.456000+00:00,1,18.87,9.58
2025-12-09 05:45:29.503000+00:00,1,18.87,9.52
2025-12-09 05:46:29.558000+00:00,1,17.83,9.33
