action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,target_replicas,timestamp
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T16:53:03.794Z
,,prediction,,,,7.2213893,1,15.9937,,2025-12-10T16:53:03.794Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T16:53:03.794Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T16:54:03.823Z
,,prediction,,,,7.2213893,1,15.9937,,2025-12-10T16:54:03.823Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T16:54:03.823Z
,,observed_metrics,11.59,1,22.53,,,,,2025-12-10T16:55:03.851Z
,,prediction,,,,7.580768,1,16.661495,,2025-12-10T16:55:03.860Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T16:55:03.860Z
,,observed_metrics,14.42,1,28.38,,,,,2025-12-10T16:56:03.886Z
,,prediction,,,,9.640444,2,18.85651,,2025-12-10T16:56:03.896Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T16:56:03.896Z
,,observed_metrics,15.4,1,30.03,,,,,2025-12-10T16:57:03.928Z
,,prediction,,,,9.851749,2,18.955463,,2025-12-10T16:57:03.937Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T16:57:03.937Z
,,observed_metrics,61.21,1,99.96,,,,,2025-12-10T16:58:03.966Z
,,prediction,,,,8.880024,2,18.072582,,2025-12-10T16:58:03.975Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T16:58:03.975Z
,,observed_metrics,70.52,2,2342.98,,,,,2025-12-10T16:59:04.005Z
,,prediction,,,,9.8801,2,19.304058,,2025-12-10T16:59:04.013Z
no-change,2,scaling_decision,,,,,,,2,2025-12-10T16:59:04.013Z
,,observed_metrics,43.64,2,834.58,,,,,2025-12-10T17:00:04.056Z
,,prediction,,,,9.406037,5,18.516973,,2025-12-10T17:00:04.065Z
scale-up,2,scaling_decision,,,,,,,5,2025-12-10T17:00:04.065Z
,,observed_metrics,57.24,2,144.18,,,,,2025-12-10T17:01:04.103Z
,,prediction,,,,9.952057,4,19.392065,,2025-12-10T17:01:04.112Z
scale-up,2,scaling_decision,,,,,,,4,2025-12-10T17:01:04.112Z
,,observed_metrics,62.63,2,367.2,,,,,2025-12-10T17:02:04.201Z
,,prediction,,,,9.5519905,5,18.646982,,2025-12-10T17:02:04.209Z
scale-up,2,scaling_decision,,,,,,,5,2025-12-10T17:02:04.209Z
