action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:24:49.037Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:25:18.975Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:25:18.976Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:25:18.976Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:25:18.978Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:25:18.979Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:25:18.979Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:25:18.979Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:25:18.979Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:25:19.086Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:25:19.088Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:25:19.088Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:25:19.088Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:25:19.088Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:25:19.088Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:25:19.088Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:25:19.088Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:25:49.089Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:25:49.091Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:25:49.091Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:25:49.091Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:25:49.091Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:25:49.091Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:25:49.091Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:25:49.091Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:25:49.104Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:25:49.105Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:25:49.105Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:25:49.105Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:25:49.105Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:25:49.106Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:25:49.106Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:25:49.106Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:26:19.110Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:26:19.111Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:26:19.111Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:26:19.111Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:26:19.111Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:26:19.111Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:26:19.111Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:26:19.112Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:26:19.128Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:26:19.130Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:26:19.130Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:26:19.130Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:26:19.130Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:26:19.130Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:26:19.130Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:26:19.130Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:26:49.130Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:26:49.131Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:26:49.131Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:26:49.131Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:26:49.131Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:26:49.131Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:26:49.131Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:26:49.131Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:26:49.148Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:26:49.150Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:26:49.150Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:26:49.150Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:26:49.150Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:26:49.150Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:26:49.150Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:26:49.150Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:27:19.184Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:27:19.185Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:27:19.185Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:27:19.185Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:27:19.185Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:27:19.185Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:27:19.185Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:27:19.185Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:27:19.198Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:27:19.199Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:27:19.199Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:27:19.199Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:27:19.199Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:27:19.199Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:27:19.199Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:27:19.199Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:27:49.202Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:27:49.204Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:27:49.204Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:27:49.204Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:27:49.204Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:27:49.204Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:27:49.204Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:27:49.204Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:27:49.217Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:27:49.218Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:27:49.218Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:27:49.218Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:27:49.218Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:27:49.218Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:27:49.218Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:27:49.218Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:28:19.222Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:28:19.224Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:28:19.224Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:28:19.224Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:28:19.224Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:28:19.224Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:28:19.224Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:28:19.224Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:28:19.239Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:28:19.240Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:28:19.240Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:28:19.240Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:28:19.240Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:28:19.240Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:28:19.240Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:28:19.240Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:28:49.243Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:28:49.245Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:28:49.245Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:28:49.245Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:28:49.245Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:28:49.245Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:28:49.245Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:28:49.245Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:28:49.258Z,,0.0
