timestamp,observed_replicas,observed_ttft,observed_itl
2025-12-10 15:54:19.917000+00:00,1,0.0,0.0
2025-12-10 15:55:19.949000+00:00,1,0.0,0.0
2025-12-10 15:56:19.979000+00:00,1,0.0,0.0
2025-12-10 15:57:20.005000+00:00,1,0.0,0.0
2025-12-10 15:58:20.047000+00:00,1,0.0,0.0
2025-12-10 16:00:20.116000+00:00,1,19.64,9.5
2025-12-10 16:01:20.152000+00:00,1,29.63,15.12
2025-12-10 16:02:20.187000+00:00,1,49.45,24.95
2025-12-10 16:03:20.223000+00:00,1,10752.69,70.1
2025-12-10 16:04:20.274000+00:00,2,7337.27,81.23
2025-12-10 16:05:20.314000+00:00,2,109.44,47.57
2025-12-10 16:06:20.355000+00:00,2,269.14,64.82
2025-12-10 16:07:20.390000+00:00,2,530.94,67.17
2025-12-10 16:08:20.436000+00:00,3,874.78,64.98
2025-12-10 16:09:20.474000+00:00,4,190.64,42.14
2025-12-10 16:10:20.518000+00:00,4,42.82,23.87
2025-12-10 16:11:20.559000+00:00,5,38.51,20.62
2025-12-10 16:12:20.624000+00:00,6,32.74,16.79
2025-12-10 16:13:20.663000+00:00,6,19.72,9.46
2025-12-10 16:14:20.798000+00:00,5,21.02,10.24
2025-12-10 16:15:20.849000+00:00,5,20.34,9.99
2025-12-10 16:16:20.887000+00:00,5,18.75,9.08
2025-12-10 16:17:20.934000+00:00,4,18.74,8.96
2025-12-10 16:18:20.981000+00:00,3,16.97,7.79
2025-12-10 16:19:21.020000+00:00,2,17.17,8.04
2025-12-10 16:20:21.064000+00:00,1,16.38,7.87
2025-12-10 16:21:21.114000+00:00,1,0.0,0.0
2025-12-10 16:22:21.158000+00:00,1,0.0,0.0
