action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,target_replicas,timestamp
,,observed_metrics,0.0,1,0.0,,,,,2025-12-09T05:14:28.263Z
,,prediction,,,,8.944877,1,17.136547,,2025-12-09T05:14:28.263Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:14:28.263Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-09T05:15:28.288Z
,,prediction,,,,8.944877,1,17.136547,,2025-12-09T05:15:28.288Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:15:28.288Z
,,observed_metrics,9.63,1,16.84,,,,,2025-12-09T05:16:28.327Z
,,prediction,,,,9.65079,1,18.339653,,2025-12-09T05:16:28.336Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:16:28.336Z
,,observed_metrics,11.72,1,20.81,,,,,2025-12-09T05:17:28.360Z
,,prediction,,,,9.727737,3,18.14536,,2025-12-09T05:17:28.370Z
scale-up,1,scaling_decision,,,,,,,3,2025-12-09T05:17:28.370Z
,,observed_metrics,16.22,1,29.55,,,,,2025-12-09T05:18:28.419Z
,,prediction,,,,9.874776,5,18.309607,,2025-12-09T05:18:28.429Z
scale-up,1,scaling_decision,,,,,,,5,2025-12-09T05:18:28.429Z
,,observed_metrics,12.95,1,22.25,,,,,2025-12-09T05:19:28.465Z
,,prediction,,,,9.361216,3,18.519846,,2025-12-09T05:19:28.470Z
scale-up,1,scaling_decision,,,,,,,3,2025-12-09T05:19:28.470Z
,,observed_metrics,10.24,2,19.23,,,,,2025-12-09T05:20:28.502Z
,,prediction,,,,9.5518265,3,18.456463,,2025-12-09T05:20:28.513Z
scale-up,2,scaling_decision,,,,,,,3,2025-12-09T05:20:28.513Z
,,observed_metrics,10.26,3,19.43,,,,,2025-12-09T05:21:28.541Z
,,prediction,,,,9.702216,4,18.849226,,2025-12-09T05:21:28.546Z
scale-up,3,scaling_decision,,,,,,,4,2025-12-09T05:21:28.546Z
,,observed_metrics,9.57,3,19.47,,,,,2025-12-09T05:22:28.580Z
,,prediction,,,,9.680258,1,17.699783,,2025-12-09T05:22:28.590Z
scale-down,3,scaling_decision,,,,,,,1,2025-12-09T05:22:28.590Z
,,observed_metrics,20.66,1,34.87,,,,,2025-12-09T05:23:28.616Z
,,prediction,,,,9.992946,3,18.472248,,2025-12-09T05:23:28.626Z
scale-up,1,scaling_decision,,,,,,,3,2025-12-09T05:23:28.626Z
,,observed_metrics,21.45,1,36.0,,,,,2025-12-09T05:24:28.657Z
,,prediction,,,,9.98147,9,18.102957,,2025-12-09T05:24:28.661Z
scale-up,1,scaling_decision,,,,,,,9,2025-12-09T05:24:28.661Z
,,observed_metrics,9.25,1,18.16,,,,,2025-12-09T05:25:28.690Z
,,prediction,,,,9.39805,1,18.940357,,2025-12-09T05:25:28.700Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:25:28.700Z
,,observed_metrics,11.51,1,21.54,,,,,2025-12-09T05:26:28.733Z
,,prediction,,,,9.749881,2,18.851551,,2025-12-09T05:26:28.743Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-09T05:26:28.743Z
,,observed_metrics,11.87,1,22.85,,,,,2025-12-09T05:27:28.772Z
,,prediction,,,,9.580485,2,19.252285,,2025-12-09T05:27:28.783Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-09T05:27:28.783Z
,,observed_metrics,10.51,2,20.05,,,,,2025-12-09T05:28:28.813Z
,,prediction,,,,9.825969,3,18.432268,,2025-12-09T05:28:28.823Z
scale-up,2,scaling_decision,,,,,,,3,2025-12-09T05:28:28.823Z
,,observed_metrics,9.47,2,18.3,,,,,2025-12-09T05:29:28.853Z
,,prediction,,,,9.638201,2,19.034807,,2025-12-09T05:29:28.862Z
no-change,2,scaling_decision,,,,,,,2,2025-12-09T05:29:28.862Z
,,observed_metrics,9.65,2,18.24,,,,,2025-12-09T05:30:28.906Z
,,prediction,,,,9.671825,2,19.192768,,2025-12-09T05:30:28.916Z
no-change,2,scaling_decision,,,,,,,2,2025-12-09T05:30:28.916Z
,,observed_metrics,9.74,2,18.06,,,,,2025-12-09T05:31:28.944Z
,,prediction,,,,9.74868,2,19.362022,,2025-12-09T05:31:28.949Z
no-change,2,scaling_decision,,,,,,,2,2025-12-09T05:31:28.949Z
,,observed_metrics,9.45,2,17.53,,,,,2025-12-09T05:32:28.982Z
,,prediction,,,,9.482402,2,19.14636,,2025-12-09T05:32:28.992Z
no-change,2,scaling_decision,,,,,,,2,2025-12-09T05:32:28.992Z
,,observed_metrics,9.43,2,17.47,,,,,2025-12-09T05:33:29.023Z
,,prediction,,,,9.42725,2,19.000252,,2025-12-09T05:33:29.033Z
no-change,2,scaling_decision,,,,,,,2,2025-12-09T05:33:29.033Z
,,observed_metrics,9.55,2,17.58,,,,,2025-12-09T05:34:29.064Z
,,prediction,,,,9.529149,2,18.962463,,2025-12-09T05:34:29.074Z
no-change,2,scaling_decision,,,,,,,2,2025-12-09T05:34:29.074Z
,,observed_metrics,8.91,2,17.64,,,,,2025-12-09T05:35:29.101Z
