action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,target_replicas,timestamp
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T03:48:07.506Z
,,prediction,,,,7.590457,1,16.439259,,2025-12-10T03:48:07.506Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T03:48:07.506Z
,,observed_metrics,14.4,1,28.52,,,,,2025-12-10T03:49:07.535Z
,,prediction,,,,9.9501295,2,19.126186,,2025-12-10T03:49:07.546Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T03:49:07.546Z
,,observed_metrics,15.31,1,29.61,,,,,2025-12-10T03:50:07.579Z
,,prediction,,,,9.210532,3,18.460333,,2025-12-10T03:50:07.771Z
scale-up,1,scaling_decision,,,,,,,3,2025-12-10T03:50:07.771Z
,,observed_metrics,39.42,1,70.67,,,,,2025-12-10T03:51:07.799Z
,,prediction,,,,9.072645,2,18.774364,,2025-12-10T03:51:07.803Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T03:51:07.803Z
,,observed_metrics,58.54,2,5760.06,,,,,2025-12-10T03:52:07.835Z
,,prediction,,,,9.615243,4,19.097809,,2025-12-10T03:52:07.846Z
scale-up,2,scaling_decision,,,,,,,4,2025-12-10T03:52:07.846Z
,,observed_metrics,53.88,2,273.24,,,,,2025-12-10T03:53:07.878Z
,,prediction,,,,9.754382,5,19.240284,,2025-12-10T03:53:07.888Z
scale-up,2,scaling_decision,,,,,,,5,2025-12-10T03:53:07.888Z
,,observed_metrics,63.11,2,551.37,,,,,2025-12-10T03:54:07.926Z
,,prediction,,,,9.911045,5,19.422514,,2025-12-10T03:54:07.936Z
scale-up,2,scaling_decision,,,,,,,5,2025-12-10T03:54:07.936Z
,,observed_metrics,53.95,4,463.19,,,,,2025-12-10T03:55:07.969Z
,,prediction,,,,9.991623,6,19.367086,,2025-12-10T03:55:07.981Z
scale-up,4,scaling_decision,,,,,,,6,2025-12-10T03:55:07.981Z
,,observed_metrics,21.14,5,36.13,,,,,2025-12-10T03:56:08.014Z
,,prediction,,,,9.854013,12,19.085669,,2025-12-10T03:56:08.024Z
scale-up,5,scaling_decision,,,,,,,12,2025-12-10T03:56:08.024Z
,,observed_metrics,14.58,5,28.26,,,,,2025-12-10T03:57:08.071Z
,,prediction,,,,9.966815,11,19.096375,,2025-12-10T03:57:08.088Z
scale-up,5,scaling_decision,,,,,,,11,2025-12-10T03:57:08.088Z
,,observed_metrics,10.43,6,20.98,,,,,2025-12-10T03:58:08.121Z
,,prediction,,,,9.953578,7,19.312412,,2025-12-10T03:58:08.125Z
scale-up,6,scaling_decision,,,,,,,7,2025-12-10T03:58:08.125Z
,,observed_metrics,9.61,6,19.66,,,,,2025-12-10T03:59:08.163Z
,,prediction,,,,9.703926,6,19.55164,,2025-12-10T03:59:08.276Z
no-change,6,scaling_decision,,,,,,,6,2025-12-10T03:59:08.276Z
,,observed_metrics,9.46,6,19.57,,,,,2025-12-10T04:00:08.322Z
,,prediction,,,,9.997924,5,19.853592,,2025-12-10T04:00:08.333Z
scale-down,6,scaling_decision,,,,,,,5,2025-12-10T04:00:08.333Z
,,observed_metrics,9.88,5,19.93,,,,,2025-12-10T04:01:08.361Z
,,prediction,,,,9.879754,5,19.748022,,2025-12-10T04:01:08.370Z
no-change,5,scaling_decision,,,,,,,5,2025-12-10T04:01:08.370Z
,,observed_metrics,10.46,5,20.96,,,,,2025-12-10T04:02:08.409Z
,,prediction,,,,9.791164,6,19.617842,,2025-12-10T04:02:08.419Z
scale-up,5,scaling_decision,,,,,,,6,2025-12-10T04:02:08.419Z
,,observed_metrics,10.28,5,20.73,,,,,2025-12-10T04:03:08.448Z
,,prediction,,,,9.6577215,6,19.461689,,2025-12-10T04:03:08.459Z
scale-up,5,scaling_decision,,,,,,,6,2025-12-10T04:03:08.459Z
,,observed_metrics,9.03,5,18.59,,,,,2025-12-10T04:04:08.494Z
,,prediction,,,,9.739283,4,19.731762,,2025-12-10T04:04:08.499Z
scale-down,5,scaling_decision,,,,,,,4,2025-12-10T04:04:08.499Z
,,observed_metrics,9.5,4,19.35,,,,,2025-12-10T04:05:08.535Z
,,prediction,,,,9.473962,4,19.382236,,2025-12-10T04:05:08.545Z
no-change,4,scaling_decision,,,,,,,4,2025-12-10T04:05:08.545Z
,,observed_metrics,8.49,4,17.54,,,,,2025-12-10T04:06:08.577Z
,,prediction,,,,9.089113,3,18.919567,,2025-12-10T04:06:08.586Z
scale-down,4,scaling_decision,,,,,,,3,2025-12-10T04:06:08.586Z
,,observed_metrics,7.78,3,16.8,,,,,2025-12-10T04:07:08.615Z
,,prediction,,,,9.923336,1,20.181313,,2025-12-10T04:07:08.624Z
scale-down,3,scaling_decision,,,,,,,1,2025-12-10T04:07:08.624Z
,,observed_metrics,7.54,1,19.54,,,,,2025-12-10T04:08:08.656Z
,,prediction,,,,7.518484,1,17.237507,,2025-12-10T04:08:08.666Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T04:08:08.666Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T04:09:08.695Z
,,prediction,,,,7.118113,1,16.918947,,2025-12-10T04:09:08.695Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T04:09:08.695Z
