timestamp,observed_replicas,observed_ttft,observed_itl
2025-12-09 15:16:58.096000+00:00,1,0.0,0.0
2025-12-09 15:17:58.122000+00:00,1,0.0,0.0
2025-12-09 15:18:58.256000+00:00,1,0.0,0.0
2025-12-09 15:19:58.286000+00:00,1,0.0,0.0
2025-12-09 15:20:58.313000+00:00,1,0.0,0.0
2025-12-09 15:21:58.351000+00:00,1,26.66,14.15
2025-12-09 15:22:58.395000+00:00,1,30.73,15.7
2025-12-09 15:23:58.437000+00:00,1,73.34,43.24
2025-12-09 15:24:58.478000+00:00,2,407.69,41.46
2025-12-09 15:25:58.527000+00:00,2,78.21,48.16
2025-12-09 15:26:58.568000+00:00,2,99.01,59.66
2025-12-09 15:27:58.608000+00:00,4,113.43,53.54
2025-12-09 15:28:58.670000+00:00,5,35.83,20.77
2025-12-09 15:29:58.713000+00:00,5,25.1,12.89
2025-12-09 15:30:58.757000+00:00,6,21.44,10.59
2025-12-09 15:31:58.801000+00:00,6,19.76,9.72
2025-12-09 15:32:58.850000+00:00,6,20.11,9.74
2025-12-09 15:33:58.919000+00:00,6,19.97,9.61
2025-12-09 15:34:58.953000+00:00,6,20.07,9.71
2025-12-09 15:35:58.994000+00:00,6,18.5,8.94
2025-12-09 15:36:59.042000+00:00,5,18.89,9.1
2025-12-09 15:37:59.083000+00:00,4,17.15,8.12
2025-12-09 15:38:59.127000+00:00,2,17.6,8.35
2025-12-09 15:39:59.167000+00:00,2,17.33,8.54
