action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T22:25:12.874Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,,,,,,2025-11-27T22:25:12.875Z,,
,,,kv_cache,,,,,,,,,,,2025-11-27T22:25:12.875Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,0,,,,,2025-11-27T22:25:12.875Z,,
,,,queue,,,,,,,,,,,2025-11-27T22:25:12.875Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:25:12.876Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:25:12.876Z,1,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T22:25:13.245Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,0,,,,,2025-11-27T22:25:13.247Z,,
,,,queue,,,,,,,,,,,2025-11-27T22:25:13.247Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,,,,,,2025-11-27T22:25:13.247Z,,
,,,kv_cache,,,,,,,,,,,2025-11-27T22:25:13.247Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:25:13.247Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:25:13.247Z,1,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T22:25:42.897Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,0,,,,,2025-11-27T22:25:42.898Z,,
,,,queue,,,,,,,,,,,2025-11-27T22:25:42.898Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,,,,,,2025-11-27T22:25:42.898Z,,
,,,kv_cache,,,,,,,,,,,2025-11-27T22:25:42.898Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:25:42.898Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:25:42.898Z,1,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T22:25:43.285Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,0,,,,,2025-11-27T22:25:43.287Z,,
,,,queue,,,,,,,,,,,2025-11-27T22:25:43.287Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,,,,,,2025-11-27T22:25:43.287Z,,
,,,kv_cache,,,,,,,,,,,2025-11-27T22:25:43.287Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:25:43.287Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:25:43.287Z,1,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T22:26:12.914Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,,,,,,2025-11-27T22:26:12.915Z,,
,,,kv_cache,,,,,,,,,,,2025-11-27T22:26:12.915Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,0,,,,,2025-11-27T22:26:12.915Z,,
,,,queue,,,,,,,,,,,2025-11-27T22:26:12.915Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:26:12.915Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:26:12.915Z,1,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T22:26:13.299Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,0,,,,,2025-11-27T22:26:13.300Z,,
,,,queue,,,,,,,,,,,2025-11-27T22:26:13.300Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,,,,,,2025-11-27T22:26:13.300Z,,
,,,kv_cache,,,,,,,,,,,2025-11-27T22:26:13.300Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:26:13.301Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:26:13.301Z,1,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T22:26:42.929Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,,,,,,2025-11-27T22:26:42.930Z,,
,,,kv_cache,,,,,,,,,,,2025-11-27T22:26:42.930Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9wj976,0,,,,,2025-11-27T22:26:42.930Z,,
,,,queue,,,,,,,,,,,2025-11-27T22:26:42.930Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:26:42.930Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-27T22:26:42.930Z,1,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-27T22:26:43.316Z,,0.0
