action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T01:57:45.474Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:57:45.474Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:57:45.474Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:57:45.474Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T01:57:45.474Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T01:57:45.488Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T01:57:45.489Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:57:45.489Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T01:57:45.489Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:57:45.489Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:57:45.489Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:57:45.489Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T01:57:45.489Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T01:58:15.502Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T01:58:15.504Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:58:15.504Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T01:58:15.504Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:58:15.504Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:58:15.504Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:58:15.504Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T01:58:15.504Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T01:58:15.525Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T01:58:15.526Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:58:15.526Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T01:58:15.526Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:58:15.526Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:58:15.527Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:58:15.527Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T01:58:15.527Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T01:58:45.522Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T01:58:45.523Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:58:45.523Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T01:58:45.523Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:58:45.523Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:58:45.524Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:58:45.524Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T01:58:45.524Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T01:58:45.540Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T01:58:45.542Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:58:45.542Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T01:58:45.542Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:58:45.542Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:58:45.542Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:58:45.542Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T01:58:45.542Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T01:59:15.552Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T01:59:15.554Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:59:15.554Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T01:59:15.554Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:59:15.554Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:59:15.554Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:59:15.554Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T01:59:15.554Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T01:59:15.568Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T01:59:15.569Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:59:15.569Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T01:59:15.569Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:59:15.569Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:59:15.569Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:59:15.569Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T01:59:15.569Z,,
,10.0,,metrics,7.87,,,,,,1,,,,2025-11-28T01:59:45.572Z,,38.18
,,,kv_cache,,0.3,0.003,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T01:59:45.573Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:59:45.573Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T01:59:45.573Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:59:45.573Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:59:45.574Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:59:45.574Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T01:59:45.574Z,,
