timestamp,pod,kv_cache_usage,kv_cache_pct
2025-12-09 13:23:53.994000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.0,0.0
2025-12-09 13:24:54.027000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.0,0.0
2025-12-09 13:25:54.052000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.053,5.3
2025-12-09 13:26:54.097000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.019,1.9
2025-12-09 13:27:54.132000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.031,3.1
2025-12-09 13:28:54.175000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.131,13.1
2025-12-09 13:29:54.211000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.152,15.2
2025-12-09 13:30:54.253000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.15,15.0
2025-12-09 13:31:54.293000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.144,14.4
2025-12-09 13:31:54.293000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgd78m,0.082,8.2
2025-12-09 13:32:54.350000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.134,13.4
2025-12-09 13:32:54.350000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgd78m,0.09,9.0
2025-12-09 13:33:54.389000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.104,10.4
2025-12-09 13:33:54.389000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgd78m,0.079,7.9
2025-12-09 13:34:54.432000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.162,16.2
2025-12-09 13:34:54.432000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgd78m,0.131,13.1
2025-12-09 13:34:54.432000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dj9wm4,0.026,2.6
2025-12-09 13:35:54.484000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.094,9.4
2025-12-09 13:35:54.484000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgd78m,0.071,7.1
2025-12-09 13:35:54.484000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dj9wm4,0.064,6.4
2025-12-09 13:36:54.535000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.081,8.1
2025-12-09 13:36:54.535000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgd78m,0.062,6.2
2025-12-09 13:36:54.535000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dj9wm4,0.073,7.3
2025-12-09 13:37:54.579000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.057,5.7
2025-12-09 13:37:54.579000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgd78m,0.072,7.2
2025-12-09 13:37:54.579000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dj9wm4,0.07,7.0
2025-12-09 13:38:54.627000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.044,4.4
2025-12-09 13:38:54.627000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgd78m,0.034,3.4
2025-12-09 13:38:54.627000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dj9wm4,0.032,3.2
2025-12-09 13:39:54.680000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.068,6.8
2025-12-09 13:39:54.680000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgd78m,0.053,5.3
2025-12-09 13:39:54.680000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dj9wm4,0.041,4.1
2025-12-09 13:40:54.721000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.078,7.8
2025-12-09 13:40:54.721000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgd78m,0.063,6.3
2025-12-09 13:41:54.762000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.026,2.6
2025-12-09 13:41:54.762000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgd78m,0.024,2.4
2025-12-09 13:42:54.809000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.06,6.0
2025-12-09 13:42:54.809000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgd78m,0.022,2.2
2025-12-09 13:43:54.863000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.072,7.2
2025-12-09 13:44:54.900000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0.0,0.0
