timestamp,observed_replicas,observed_ttft,observed_itl
2025-12-09 13:23:54.008000+00:00,1,0.0,0.0
2025-12-09 13:24:54.040000+00:00,1,0.0,0.0
2025-12-09 13:25:54.072000+00:00,1,12.99,7.89
2025-12-09 13:26:54.110000+00:00,1,14.02,7.81
2025-12-09 13:27:54.147000+00:00,1,16.02,7.92
2025-12-09 13:28:54.189000+00:00,1,24.61,12.27
2025-12-09 13:29:54.226000+00:00,1,24.88,12.72
2025-12-09 13:30:54.267000+00:00,1,22.95,12.54
2025-12-09 13:31:54.310000+00:00,2,22.32,11.65
2025-12-09 13:32:54.367000+00:00,2,21.76,10.91
2025-12-09 13:33:54.404000+00:00,2,21.17,10.55
2025-12-09 13:34:54.451000+00:00,3,25.08,12.81
2025-12-09 13:35:54.499000+00:00,3,19.77,9.76
2025-12-09 13:36:54.552000+00:00,3,19.62,9.61
2025-12-09 13:37:54.599000+00:00,3,19.68,9.38
2025-12-09 13:38:54.659000+00:00,3,17.1,8.41
2025-12-09 13:39:54.695000+00:00,2,18.53,9.08
2025-12-09 13:40:54.738000+00:00,2,19.03,9.41
2025-12-09 13:41:54.777000+00:00,2,16.86,7.88
2025-12-09 13:42:54.838000+00:00,1,18.5,9.01
2025-12-09 13:43:54.876000+00:00,1,18.79,9.38
2025-12-09 13:44:54.913000+00:00,1,0.0,0.0
