timestamp,observed_replicas,observed_ttft,observed_itl
2025-12-09 15:52:59.650000+00:00,1,0.0,0.0
2025-12-09 15:53:59.681000+00:00,1,0.0,0.0
2025-12-09 15:54:59.711000+00:00,1,0.0,0.0
2025-12-09 15:55:59.747000+00:00,1,0.0,0.0
2025-12-09 15:56:59.777000+00:00,1,0.0,0.0
2025-12-09 15:57:59.804000+00:00,1,0.0,0.0
2025-12-09 15:58:59.833000+00:00,1,20.17,10.1
2025-12-09 15:59:59.944000+00:00,1,28.82,14.74
2025-12-09 16:00:59.985000+00:00,1,31.52,16.04
2025-12-09 16:02:00.021000+00:00,1,748.66,67.44
2025-12-09 16:03:00.066000+00:00,3,1305.69,69.21
2025-12-09 16:04:00.117000+00:00,3,58.88,34.11
2025-12-09 16:06:00.212000+00:00,3,53.79,30.34
2025-12-09 16:07:00.257000+00:00,3,53.78,30.51
2025-12-09 16:08:00.303000+00:00,8,53.09,29.85
2025-12-09 16:09:00.369000+00:00,10,17.86,8.68
2025-12-09 16:10:00.412000+00:00,7,18.37,8.82
2025-12-09 16:11:00.455000+00:00,5,21.01,10.32
2025-12-09 16:12:00.493000+00:00,5,21.12,10.44
2025-12-09 16:13:00.539000+00:00,5,20.91,10.36
2025-12-09 16:14:00.574000+00:00,6,18.35,8.93
2025-12-09 16:15:00.620000+00:00,4,20.12,9.65
2025-12-09 16:16:00.659000+00:00,4,16.07,7.64
2025-12-09 16:17:00.699000+00:00,2,17.44,8.31
2025-12-09 16:18:00.763000+00:00,1,0.0,0.0
