action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,target_replicas,timestamp
,,observed_metrics,0.0,1,0.0,,,,,2025-12-09T13:23:54.008Z
,,prediction,,,,7.045932,1,15.997414,,2025-12-09T13:23:54.008Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T13:23:54.008Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-09T13:24:54.040Z
,,prediction,,,,7.045932,1,15.997414,,2025-12-09T13:24:54.040Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T13:24:54.040Z
,,observed_metrics,7.89,1,12.99,,,,,2025-12-09T13:25:54.072Z
,,prediction,,,,8.123125,1,19.784956,,2025-12-09T13:25:54.083Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T13:25:54.083Z
,,observed_metrics,7.81,1,14.02,,,,,2025-12-09T13:26:54.110Z
,,prediction,,,,7.8987904,1,19.698797,,2025-12-09T13:26:54.115Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T13:26:54.115Z
,,observed_metrics,7.92,1,16.02,,,,,2025-12-09T13:27:54.147Z
,,prediction,,,,7.9164147,1,19.348167,,2025-12-09T13:27:54.157Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T13:27:54.157Z
,,observed_metrics,12.27,1,24.61,,,,,2025-12-09T13:28:54.189Z
,,prediction,,,,8.419712,2,21.747856,,2025-12-09T13:28:54.199Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-09T13:28:54.199Z
,,observed_metrics,12.72,1,24.88,,,,,2025-12-09T13:29:54.226Z
,,prediction,,,,9.482349,2,23.849403,,2025-12-09T13:29:54.237Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-09T13:29:54.237Z
,,observed_metrics,12.54,1,22.95,,,,,2025-12-09T13:30:54.267Z
,,prediction,,,,9.787521,2,23.88816,,2025-12-09T13:30:54.278Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-09T13:30:54.278Z
,,observed_metrics,11.65,2,22.32,,,,,2025-12-09T13:31:54.310Z
,,prediction,,,,8.963598,3,22.790113,,2025-12-09T13:31:54.321Z
scale-up,2,scaling_decision,,,,,,,3,2025-12-09T13:31:54.322Z
,,observed_metrics,10.91,2,21.76,,,,,2025-12-09T13:32:54.367Z
,,prediction,,,,8.5431385,3,23.000961,,2025-12-09T13:32:54.378Z
scale-up,2,scaling_decision,,,,,,,3,2025-12-09T13:32:54.378Z
,,observed_metrics,10.55,2,21.17,,,,,2025-12-09T13:33:54.404Z
,,prediction,,,,8.205508,3,22.462677,,2025-12-09T13:33:54.416Z
scale-up,2,scaling_decision,,,,,,,3,2025-12-09T13:33:54.416Z
,,observed_metrics,12.81,3,25.08,,,,,2025-12-09T13:34:54.451Z
,,prediction,,,,9.377692,3,25.536346,,2025-12-09T13:34:54.473Z
no-change,3,scaling_decision,,,,,,,3,2025-12-09T13:34:54.473Z
,,observed_metrics,9.76,3,19.77,,,,,2025-12-09T13:35:54.499Z
,,prediction,,,,9.60056,3,24.52417,,2025-12-09T13:35:54.509Z
no-change,3,scaling_decision,,,,,,,3,2025-12-09T13:35:54.509Z
,,observed_metrics,9.61,3,19.62,,,,,2025-12-09T13:36:54.552Z
,,prediction,,,,9.57763,3,24.469181,,2025-12-09T13:36:54.562Z
no-change,3,scaling_decision,,,,,,,3,2025-12-09T13:36:54.562Z
,,observed_metrics,9.38,3,19.68,,,,,2025-12-09T13:37:54.599Z
,,prediction,,,,9.36025,3,23.902914,,2025-12-09T13:37:54.609Z
no-change,3,scaling_decision,,,,,,,3,2025-12-09T13:37:54.609Z
,,observed_metrics,8.41,3,17.1,,,,,2025-12-09T13:38:54.659Z
,,prediction,,,,9.661811,2,23.342949,,2025-12-09T13:38:54.669Z
scale-down,3,scaling_decision,,,,,,,2,2025-12-09T13:38:54.669Z
,,observed_metrics,9.08,2,18.53,,,,,2025-12-09T13:39:54.695Z
,,prediction,,,,9.131639,2,22.716518,,2025-12-09T13:39:54.705Z
no-change,2,scaling_decision,,,,,,,2,2025-12-09T13:39:54.705Z
,,observed_metrics,9.41,2,19.03,,,,,2025-12-09T13:40:54.738Z
,,prediction,,,,9.469186,2,23.957258,,2025-12-09T13:40:54.748Z
no-change,2,scaling_decision,,,,,,,2,2025-12-09T13:40:54.748Z
,,observed_metrics,7.88,2,16.86,,,,,2025-12-09T13:41:54.777Z
,,prediction,,,,9.373059,1,23.993168,,2025-12-09T13:41:54.787Z
scale-down,2,scaling_decision,,,,,,,1,2025-12-09T13:41:54.787Z
,,observed_metrics,9.01,1,18.5,,,,,2025-12-09T13:42:54.838Z
,,prediction,,,,8.993579,1,22.202318,,2025-12-09T13:42:54.848Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T13:42:54.848Z
,,observed_metrics,9.38,1,18.79,,,,,2025-12-09T13:43:54.876Z
,,prediction,,,,9.418545,1,23.330025,,2025-12-09T13:43:54.885Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T13:43:54.885Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-09T13:44:54.913Z
,,prediction,,,,6.6327586,1,15.179055,,2025-12-09T13:44:54.913Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T13:44:54.913Z
