action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:51:51.695Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:51:51.697Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:51:51.697Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:51:51.697Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:51:51.697Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:51:51.697Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:51:51.697Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:51:51.697Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:51:51.801Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:51:51.803Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:51:51.803Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:51:51.803Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:51:51.803Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:51:51.803Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:51:51.803Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:51:51.803Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:52:21.724Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:52:21.725Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:52:21.725Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:52:21.726Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:52:21.726Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:52:21.726Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:52:21.726Z,1,
