action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T19:47:45.600Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T19:47:45.601Z,,
,,,queue,,,,,,,,,,,2025-11-28T19:47:45.601Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T19:47:45.601Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T19:47:45.601Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T19:47:45.602Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T19:47:45.602Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T19:47:45.602Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T19:47:45.708Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T19:47:45.709Z,,
,,,queue,,,,,,,,,,,2025-11-28T19:47:45.709Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T19:47:45.709Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T19:47:45.709Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T19:47:45.709Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T19:47:45.709Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T19:47:45.710Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T19:48:15.628Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T19:48:15.629Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T19:48:15.629Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T19:48:15.629Z,,
,,,queue,,,,,,,,,,,2025-11-28T19:48:15.629Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T19:48:15.629Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T19:48:15.629Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T19:48:15.629Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T19:48:15.724Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T19:48:15.726Z,,
,,,queue,,,,,,,,,,,2025-11-28T19:48:15.726Z,,
