action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,target_replicas,timestamp
,,observed_metrics,9.09,10,18.85,,,,,2025-12-08T23:37:02.896Z
,,prediction,,,,9.300913,1,20.012177,,2025-12-08T23:37:02.904Z
scale-down,10,scaling_decision,,,,,,,1,2025-12-08T23:37:02.904Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-08T23:38:02.928Z
,,prediction,,,,9.060737,1,19.46815,,2025-12-08T23:38:02.928Z
no-change,1,scaling_decision,,,,,,,1,2025-12-08T23:38:02.928Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-08T23:39:02.957Z
,,prediction,,,,9.060737,1,19.46815,,2025-12-08T23:39:02.957Z
no-change,1,scaling_decision,,,,,,,1,2025-12-08T23:39:02.957Z
,,observed_metrics,9.86,1,20.04,,,,,2025-12-08T23:40:02.981Z
,,prediction,,,,9.721983,1,19.82997,,2025-12-08T23:40:02.990Z
no-change,1,scaling_decision,,,,,,,1,2025-12-08T23:40:02.990Z
,,observed_metrics,9.68,1,19.57,,,,,2025-12-08T23:41:03.016Z
,,prediction,,,,9.806293,1,21.148357,,2025-12-08T23:41:03.023Z
no-change,1,scaling_decision,,,,,,,1,2025-12-08T23:41:03.023Z
,,observed_metrics,9.3,1,18.79,,,,,2025-12-08T23:42:03.051Z
,,prediction,,,,9.373369,1,20.776957,,2025-12-08T23:42:03.055Z
no-change,1,scaling_decision,,,,,,,1,2025-12-08T23:42:03.055Z
,,observed_metrics,10.54,1,21.66,,,,,2025-12-08T23:43:03.095Z
,,prediction,,,,9.928989,2,20.39462,,2025-12-08T23:43:03.106Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-08T23:43:03.106Z
,,observed_metrics,13.33,2,26.28,,,,,2025-12-08T23:44:03.142Z
,,prediction,,,,9.9901495,5,20.308945,,2025-12-08T23:44:03.152Z
scale-up,2,scaling_decision,,,,,,,5,2025-12-08T23:44:03.152Z
,,observed_metrics,9.76,5,17.64,,,,,2025-12-08T23:45:03.190Z
,,prediction,,,,9.904986,3,20.049795,,2025-12-08T23:45:03.200Z
scale-down,5,scaling_decision,,,,,,,3,2025-12-08T23:45:03.200Z
,,observed_metrics,9.48,3,18.8,,,,,2025-12-08T23:46:03.223Z
,,prediction,,,,9.7926655,2,20.63785,,2025-12-08T23:46:03.227Z
scale-down,3,scaling_decision,,,,,,,2,2025-12-08T23:46:03.227Z
,,observed_metrics,13.92,2,26.76,,,,,2025-12-08T23:47:03.256Z
,,prediction,,,,9.927662,4,21.064621,,2025-12-08T23:47:03.264Z
scale-up,2,scaling_decision,,,,,,,4,2025-12-08T23:47:03.264Z
,,observed_metrics,11.1,4,22.13,,,,,2025-12-08T23:48:03.336Z
,,observed_metrics,10.47,4,20.83,,,,,2025-12-08T23:49:03.373Z
,,prediction,,,,9.985084,9,19.93733,,2025-12-08T23:49:03.382Z
scale-up,4,scaling_decision,,,,,,,9,2025-12-08T23:49:03.382Z
,,observed_metrics,9.81,9,20.22,,,,,2025-12-08T23:50:03.414Z
,,prediction,,,,9.942314,7,20.186625,,2025-12-08T23:50:03.424Z
scale-down,9,scaling_decision,,,,,,,7,2025-12-08T23:50:03.424Z
,,observed_metrics,9.75,7,19.69,,,,,2025-12-08T23:51:03.454Z
,,prediction,,,,9.929575,5,20.402363,,2025-12-08T23:51:03.462Z
scale-down,7,scaling_decision,,,,,,,5,2025-12-08T23:51:03.462Z
,,observed_metrics,9.8,5,20.55,,,,,2025-12-08T23:52:03.493Z
,,prediction,,,,9.983625,4,20.891523,,2025-12-08T23:52:03.504Z
scale-down,5,scaling_decision,,,,,,,4,2025-12-08T23:52:03.504Z
,,observed_metrics,9.28,4,18.95,,,,,2025-12-08T23:53:03.533Z
,,prediction,,,,9.586855,3,20.954384,,2025-12-08T23:53:03.539Z
scale-down,4,scaling_decision,,,,,,,3,2025-12-08T23:53:03.539Z
,,observed_metrics,9.9,3,19.8,,,,,2025-12-08T23:54:03.572Z
,,prediction,,,,9.856064,3,21.06762,,2025-12-08T23:54:03.582Z
no-change,3,scaling_decision,,,,,,,3,2025-12-08T23:54:03.582Z
,,observed_metrics,9.69,3,19.44,,,,,2025-12-08T23:55:03.611Z
,,prediction,,,,9.711317,3,20.86469,,2025-12-08T23:55:03.616Z
no-change,3,scaling_decision,,,,,,,3,2025-12-08T23:55:03.616Z
,,observed_metrics,8.9,3,17.45,,,,,2025-12-08T23:56:03.641Z
,,prediction,,,,9.907271,1,21.706396,,2025-12-08T23:56:03.645Z
scale-down,3,scaling_decision,,,,,,,1,2025-12-08T23:56:03.645Z
,,observed_metrics,10.97,1,22.04,,,,,2025-12-08T23:57:03.673Z
,,prediction,,,,9.889263,3,20.015804,,2025-12-08T23:57:03.681Z
scale-up,1,scaling_decision,,,,,,,3,2025-12-08T23:57:03.681Z
,,observed_metrics,9.51,3,19.31,,,,,2025-12-08T23:58:03.706Z
,,prediction,,,,9.715768,2,19.92958,,2025-12-08T23:58:03.714Z
scale-down,3,scaling_decision,,,,,,,2,2025-12-08T23:58:03.714Z
,,observed_metrics,9.02,2,17.85,,,,,2025-12-08T23:59:03.751Z
,,prediction,,,,9.127522,1,19.377384,,2025-12-08T23:59:03.759Z
scale-down,2,scaling_decision,,,,,,,1,2025-12-08T23:59:03.759Z
