action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,pod,queue_length,replicas,target_replicas,timestamp,ttft
,10.0,,metrics,53.92,,,,,1,,2025-12-09T21:09:35.576Z,86.45
,,,kv_cache,,94.8,0.948,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:09:35.578Z,
,,,kv_cache,,,,,,,,2025-12-09T21:09:35.578Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:09:35.578Z,
,,,queue,,,,,,,,2025-12-09T21:09:35.578Z,
no-change,,2,scaling_decision,,,,,,,2,2025-12-09T21:09:35.580Z,
,20.0,,metrics,43.82,,,,,2,,2025-12-09T21:10:35.622Z,122.13
,,,kv_cache,,98.9,0.989,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:10:35.623Z,
,,,kv_cache,,4.5,0.045,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dsqkm4,,,,2025-12-09T21:10:35.623Z,
,,,kv_cache,,,,,,,,2025-12-09T21:10:35.623Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,55,,,2025-12-09T21:10:35.624Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dsqkm4,0,,,2025-12-09T21:10:35.624Z,
,,,queue,,,,,,,,2025-12-09T21:10:35.624Z,
no-change,,2,scaling_decision,,,,,,,2,2025-12-09T21:10:35.626Z,
,20.0,,metrics,16.19,,,,,2,,2025-12-09T21:11:35.649Z,28.83
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:11:35.650Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dsqkm4,0,,,2025-12-09T21:11:35.650Z,
,,,queue,,,,,,,,2025-12-09T21:11:35.650Z,
,,,kv_cache,,56.9,0.569,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:11:35.650Z,
,,,kv_cache,,7.7,0.077,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dsqkm4,,,,2025-12-09T21:11:35.650Z,
,,,kv_cache,,,,,,,,2025-12-09T21:11:35.650Z,
no-change,,2,scaling_decision,,,,,,,2,2025-12-09T21:11:35.652Z,
,20.0,,metrics,8.62,,,,,2,,2025-12-09T21:12:35.682Z,17.17
,,,kv_cache,,8.3,0.083,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:12:35.684Z,
,,,kv_cache,,4.8,0.048,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dsqkm4,,,,2025-12-09T21:12:35.684Z,
,,,kv_cache,,,,,,,,2025-12-09T21:12:35.684Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:12:35.684Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dsqkm4,0,,,2025-12-09T21:12:35.684Z,
,,,queue,,,,,,,,2025-12-09T21:12:35.684Z,
scale-down,,2,scaling_decision,,,,,,,1,2025-12-09T21:12:35.686Z,
,10.0,,metrics,9.93,,,,,1,,2025-12-09T21:13:35.707Z,19.06
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:13:35.709Z,
,,,queue,,,,,,,,2025-12-09T21:13:35.709Z,
,,,kv_cache,,9.1,0.091,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:13:35.709Z,
,,,kv_cache,,,,,,,,2025-12-09T21:13:35.709Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:13:35.710Z,
,10.0,,metrics,10.49,,,,,1,,2025-12-09T21:14:35.736Z,21.68
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:14:35.737Z,
,,,queue,,,,,,,,2025-12-09T21:14:35.737Z,
,,,kv_cache,,11.2,0.112,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:14:35.737Z,
,,,kv_cache,,,,,,,,2025-12-09T21:14:35.737Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:14:35.739Z,
,10.0,,metrics,10.38,,,,,1,,2025-12-09T21:15:35.761Z,20.77
,,,kv_cache,,8.9,0.089,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:15:35.762Z,
,,,kv_cache,,,,,,,,2025-12-09T21:15:35.762Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:15:35.762Z,
,,,queue,,,,,,,,2025-12-09T21:15:35.762Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:15:35.764Z,
,10.0,,metrics,10.34,,,,,1,,2025-12-09T21:16:35.795Z,20.79
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:16:35.796Z,
,,,queue,,,,,,,,2025-12-09T21:16:35.796Z,
,,,kv_cache,,9.4,0.094,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:16:35.796Z,
,,,kv_cache,,,,,,,,2025-12-09T21:16:35.796Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:16:35.798Z,
,10.0,,metrics,10.51,,,,,1,,2025-12-09T21:17:35.821Z,21.27
,,,kv_cache,,10.2,0.102,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:17:35.822Z,
,,,kv_cache,,,,,,,,2025-12-09T21:17:35.822Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:17:35.822Z,
,,,queue,,,,,,,,2025-12-09T21:17:35.822Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:17:35.824Z,
,10.0,,metrics,10.92,,,,,1,,2025-12-09T21:18:35.853Z,21.95
,,,kv_cache,,10.4,0.104,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:18:35.854Z,
,,,kv_cache,,,,,,,,2025-12-09T21:18:35.854Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:18:35.854Z,
,,,queue,,,,,,,,2025-12-09T21:18:35.854Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:18:35.856Z,
,10.0,,metrics,10.73,,,,,1,,2025-12-09T21:19:35.879Z,22.25
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:19:35.881Z,
,,,queue,,,,,,,,2025-12-09T21:19:35.881Z,
,,,kv_cache,,9.6,0.096,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:19:35.881Z,
,,,kv_cache,,,,,,,,2025-12-09T21:19:35.881Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:19:35.883Z,
,10.0,,metrics,10.3,,,,,1,,2025-12-09T21:20:35.915Z,21.39
,,,kv_cache,,9.8,0.098,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:20:35.916Z,
,,,kv_cache,,,,,,,,2025-12-09T21:20:35.916Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:20:35.916Z,
,,,queue,,,,,,,,2025-12-09T21:20:35.916Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:20:35.918Z,
,10.0,,metrics,9.87,,,,,1,,2025-12-09T21:21:35.943Z,20.46
,,,kv_cache,,6.7,0.067,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:21:35.944Z,
,,,kv_cache,,,,,,,,2025-12-09T21:21:35.944Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:21:35.944Z,
,,,queue,,,,,,,,2025-12-09T21:21:35.944Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:21:35.946Z,
,10.0,,metrics,10.1,,,,,1,,2025-12-09T21:22:35.972Z,21.03
,,,kv_cache,,10.3,0.103,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:22:35.974Z,
,,,kv_cache,,,,,,,,2025-12-09T21:22:35.974Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:22:35.974Z,
,,,queue,,,,,,,,2025-12-09T21:22:35.974Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:22:35.975Z,
,10.0,,metrics,8.82,,,,,1,,2025-12-09T21:23:35.995Z,17.91
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:23:35.997Z,
,,,queue,,,,,,,,2025-12-09T21:23:35.997Z,
,,,kv_cache,,9.4,0.094,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:23:35.997Z,
,,,kv_cache,,,,,,,,2025-12-09T21:23:35.997Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:23:35.998Z,
,10.0,,metrics,8.35,,,,,1,,2025-12-09T21:24:36.023Z,18.03
,,,kv_cache,,4.3,0.043,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:24:36.024Z,
,,,kv_cache,,,,,,,,2025-12-09T21:24:36.024Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:24:36.024Z,
,,,queue,,,,,,,,2025-12-09T21:24:36.024Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:24:36.026Z,
,10.0,,metrics,7.99,,,,,1,,2025-12-09T21:25:36.047Z,17.46
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:25:36.048Z,
,,,queue,,,,,,,,2025-12-09T21:25:36.048Z,
,,,kv_cache,,3.6,0.036,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:25:36.048Z,
,,,kv_cache,,,,,,,,2025-12-09T21:25:36.048Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:25:36.050Z,
,10.0,,metrics,8.38,,,,,1,,2025-12-09T21:26:36.079Z,17.26
,,,kv_cache,,3.6,0.036,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:26:36.081Z,
,,,kv_cache,,,,,,,,2025-12-09T21:26:36.081Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:26:36.082Z,
,,,queue,,,,,,,,2025-12-09T21:26:36.082Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:26:36.087Z,
,10.0,,metrics,8.16,,,,,1,,2025-12-09T21:27:36.113Z,17.18
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:27:36.114Z,
,,,queue,,,,,,,,2025-12-09T21:27:36.114Z,
,,,kv_cache,,4.5,0.045,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:27:36.114Z,
,,,kv_cache,,,,,,,,2025-12-09T21:27:36.114Z,
