timestamp,replicas,desired_replicas,num_requests_waiting,num_requests_waiting_target,kv_cache_usage_perc,kv_cache_usage_target,ttft_ms,itl_ms,request_rate_per_min,active_jobs
2025-12-06 15:51:09,1,1,0,20,0,0.5,0.00,0.00,0.00,0
2025-12-06 15:51:30,1,1,0,20,0,0.5,0.00,0.00,0.00,0
2025-12-06 15:51:50,1,1,0,20,0,0.5,0.00,0.00,0.00,0
2025-12-06 15:52:11,1,1,0,20,0,0.5,0.00,0.00,0.00,0
2025-12-06 15:52:32,1,1,0,20,0,0.5,0.00,0.00,0.00,0
2025-12-06 15:52:53,1,1,0,20,0.025,0.5,0.00,0.00,0.00,0
2025-12-06 15:53:14,1,1,0,20,0.036,0.5,0.00,0.00,0.00,0
2025-12-06 15:53:34,1,1,0,20,0.017,0.5,0.00,0.00,0.00,0
2025-12-06 15:53:55,1,1,0,20,0.04,0.5,0.00,0.00,0.00,0
2025-12-06 15:54:16,1,1,0,20,0.04,0.5,0.00,0.00,0.00,0
2025-12-06 15:54:37,1,1,0,20,0.047,0.5,0.00,0.00,0.00,0
2025-12-06 15:54:58,1,1,0,20,0.065,0.5,0.00,0.00,0.00,0
2025-12-06 15:55:18,1,1,0,20,0.065,0.5,0.00,0.00,0.00,0
2025-12-06 15:55:39,1,1,0,20,0.055,0.5,0.00,0.00,0.00,0
2025-12-06 15:56:00,1,1,0,20,0.07,0.5,0.00,0.00,0.00,0
2025-12-06 15:56:21,1,1,0,20,0.07,0.5,0.00,0.00,0.00,0
2025-12-06 15:56:42,1,1,0,20,0.131,0.5,0.00,0.00,0.00,0
2025-12-06 15:57:03,1,1,0,20,0.106,0.5,0.00,0.00,0.00,0
2025-12-06 15:57:24,1,1,0,20,0.101,0.5,0.00,0.00,0.00,0
2025-12-06 15:57:45,1,1,0,20,0.101,0.5,0.00,0.00,0.00,0
2025-12-06 15:58:05,1,1,0,20,0.097,0.5,0.00,0.00,0.00,0
2025-12-06 15:58:26,1,1,0,20,0.191,0.5,0.00,0.00,0.00,0
2025-12-06 15:58:47,1,1,0,20,0.191,0.5,0.00,0.00,0.00,0
2025-12-06 15:59:08,1,1,0,20,0.212,0.5,0.00,0.00,0.00,0
2025-12-06 15:59:29,1,1,0,20,0.187,0.5,0.00,0.00,0.00,0
2025-12-06 15:59:50,1,1,0,20,0.187,0.5,0.00,0.00,0.00,0
2025-12-06 16:00:11,1,1,0,20,0.191,0.5,0.00,0.00,0.00,0
2025-12-06 16:00:32,1,1,0,20,0.257,0.5,0.00,0.00,0.00,0
2025-12-06 16:00:53,1,1,0,20,0.257,0.5,0.00,0.00,0.00,0
2025-12-06 16:01:14,1,1,0,20,0.256,0.5,0.00,0.00,0.00,0
2025-12-06 16:01:34,1,1,0,20,0.321,0.5,0.00,0.00,0.00,0
2025-12-06 16:01:55,1,1,0,20,0.34,0.5,0.00,0.00,0.00,0
2025-12-06 16:02:16,1,1,0,20,0.34,0.5,0.00,0.00,0.00,0
2025-12-06 16:02:37,1,1,0,20,0.427,0.5,0.00,0.00,0.00,0
2025-12-06 16:02:58,1,2,0,20,0.615,0.5,0.00,0.00,0.00,0
2025-12-06 16:03:19,2,2,0,20,0.615,0.5,0.00,0.00,0.00,0
2025-12-06 16:03:40,2,2,0,20,0.757,0.5,0.00,0.00,0.00,0
